req,t,ctx_tok,cache_tok,prefill_new_tok,decode_tok,resp_prefill_think_s,text_tail_s,llm_total_s,n_tools
1,06:49:49,12779,0,12779,211,0,0,0,3
2,06:49:54,20656,12736,7920,86,5,0,5,2
3,06:49:59,23514,20608,2906,201,5,0,5,3
4,06:50:08,44766,23488,21278,385,9,0,9,3
5,06:50:15,46544,44736,1808,234,7,0,7,1
6,06:50:24,47203,46528,675,201,9,0,9,1
7,06:50:37,47420,47168,252,432,13,0,13,2
8,06:51:02,48210,47168,1042,873,23,0,23,3
9,06:51:34,49485,48192,1293,1442,32,0,32,2
10,06:52:08,51306,49472,1834,1519,34,0,34,2
11,06:53:04,53212,51264,1948,2918,56,0,56,2
12,06:53:31,56502,47168,9334,931,25,0,25,3
13,06:54:20,57982,48192,9790,2404,45,0,45,1
14,06:54:52,61025,47168,13857,125,15,0,15,1
15,06:55:19,61802,57984,3818,122,12,0,12,1
16,06:55:33,62096,61760,336,262,13,0,13,1
17,06:56:15,63119,57984,5135,425,18,0,18,1
18,06:56:25,63728,63104,624,97,9,0,9,1
19,06:56:57,63992,63680,312,1203,31,0,31,1
20,06:57:19,65701,61760,3941,238,15,0,15,1
21,06:57:57,66604,61056,5548,97,16,0,16,1
22,06:58:36,67411,61824,5587,101,14,0,14,1
23,06:59:10,68171,65792,2379,204,16,0,16,1
24,06:59:25,68555,68160,395,258,15,0,15,1
25,07:01:01,69479,65792,3687,334,8,0,8,1
26,07:01:31,141651,137024,4627,3403,21,0,21,2
27,07:02:23,73846,71232,2614,252,16,0,16,1
